,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,255169,sub,Ainsley Maitland-Niles,6.0,0,0,0,0,4,2,0,0,0,0,0,0
1,379790,sub,Nuno Tavares,6.3,0,0,0,0,3,2,0,0,1,1,0,0
2,349102,sub,Albert Sambi Lokonga,6.3,0,0,0,0,3,3,1,1,2,2,1,0
3,380706,sub,Gabriel Martinelli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,73078,sub,Alexandre Lacazette,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,92173,sub,Bernd Leno,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,69945,sub,Cédric Soares,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,288795,sub,Rob Holding,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,239872,sub,Nicolas Pépé,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,316858,GK,Aaron Ramsdale,6.9,0,0,0,0,36,22,0,0,0,0,0,0
10,377283,DR,Takehiro Tomiyasu,6.8,0,0,1,1,46,37,0,0,1,1,0,0
11,334087,DC,Gabriel Magalhães,6.6,0,0,1,0,50,45,0,0,1,0,0,0
12,322036,DC,Benjamin White,6.8,0,0,0,0,42,40,0,0,1,1,0,0
13,297403,DL,Kieran Tierney,7.0,0,0,1,0,42,31,1,0,4,4,0,0
14,238940,DMC,Thomas Partey,7.2,0,0,2,1,28,26,1,0,5,3,0,0
15,89401,DMC,Granit Xhaka,7.1,0,0,0,0,48,41,2,2,4,3,0,0
16,367185,AMR,Bukayo Saka,8.4,1,1,2,2,36,30,3,0,5,3,0,0
17,247454,AMC,Martin Ødegaard,6.8,0,0,0,0,50,44,0,0,4,1,1,0
18,363686,AML,Emile Smith Rowe,8.1,1,1,1,1,26,23,2,2,0,0,0,0
19,44120,FW,Pierre-Emerick Aubameyang,8.5,1,0,4,2,17,11,0,0,4,3,0,0
20,25604,GK,Hugo Lloris,6.3,0,0,0,0,26,21,0,0,0,0,0,0
21,384063,DR,Japhet Tanganga,5.7,0,0,1,0,18,13,0,0,1,1,0,0
22,322655,DC,Davinson Sánchez,5.7,0,0,0,0,63,56,0,0,0,0,0,0
23,117973,DC,Eric Dier,6.1,0,0,0,0,69,59,0,0,0,0,0,0
24,362275,DL,Sergio Reguilón,7.1,0,1,0,0,40,32,0,0,1,1,0,0
25,101859,MC,Pierre-Emile Højbjerg,7.0,0,0,0,0,70,64,1,0,5,4,0,0
26,321389,MC,Tanguy Ndombele,6.6,0,0,0,0,33,28,4,4,2,2,0,0
27,131519,MC,Dele Alli,5.6,0,0,0,0,14,13,2,0,2,1,0,0
28,92508,FWR,Lucas Moura,6.8,0,0,2,1,43,34,3,3,2,0,0,0
29,83532,FW,Harry Kane,6.0,0,0,5,1,11,5,1,0,0,0,0,0
30,91909,FWL,Son Heung-Min,7.3,1,0,2,2,27,24,2,0,2,1,0,0
31,364215,sub,Oliver Skipp,6.1,0,0,0,0,30,28,0,0,3,3,1,0
32,368519,sub,Bryan Gil,6.7,0,0,0,0,14,11,3,3,0,0,0,0
33,328512,sub,Emerson Royal,6.2,0,0,0,0,27,25,0,0,1,1,0,0
34,303908,sub,Giovani Lo Celso,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,323663,sub,Cristian Romero,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,103837,sub,Ben Davies,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
